Accession,Release_Date,Length,Geo_Location,USA,Isolation_Source,Collection_Date
MW173428,2020-10-27T00:00:00Z,29853,"USA: Washington,King County",WA,,2020-10-01
MW173429,2020-10-27T00:00:00Z,29833,"USA: Washington,King County",WA,,2020-10-01
MW173430,2020-10-27T00:00:00Z,29856,"USA: Washington,King County",WA,,2020-10-04
MW173431,2020-10-27T00:00:00Z,29836,"USA: Washington,King County",WA,,2020-10-04
MW173432,2020-10-27T00:00:00Z,29855,"USA: Washington,King County",WA,,2020-10-04
MW173433,2020-10-27T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-10-04
MW173434,2020-10-27T00:00:00Z,29855,USA: Washington,WA,,2020-09-11
MW173435,2020-10-27T00:00:00Z,29857,USA: Washington,WA,,2020-09-18
MW173436,2020-10-27T00:00:00Z,29869,USA: Washington,WA,,2020-09-27
MW173437,2020-10-27T00:00:00Z,28971,"USA: Washington,King County",WA,,2020-09-28
MW173438,2020-10-27T00:00:00Z,29762,"USA: Washington,King County",WA,,2020-09-28
MW173439,2020-10-27T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-09-28
MW173440,2020-10-27T00:00:00Z,29860,"USA: Washington,King County",WA,,2020-09-29
MW173441,2020-10-27T00:00:00Z,29849,"USA: Washington,King County",WA,,2020-09-29
MW173442,2020-10-27T00:00:00Z,29856,"USA: Washington,King County",WA,,2020-10-01
MW173443,2020-10-27T00:00:00Z,29856,"USA: Washington,King County",WA,,2020-10-01
MW173444,2020-10-27T00:00:00Z,29858,"USA: Washington,King County",WA,,2020-10-01
MW173445,2020-10-27T00:00:00Z,29852,"USA: Washington,King County",WA,,2020-10-02
MW173446,2020-10-27T00:00:00Z,29833,"USA: Washington,King County",WA,,2020-10-02
MW173447,2020-10-27T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-10-02
MW173448,2020-10-27T00:00:00Z,29863,"USA: Washington,King County",WA,,2020-10-02
MW173449,2020-10-27T00:00:00Z,29836,"USA: Washington,King County",WA,,2020-10-02
MW173450,2020-10-27T00:00:00Z,29853,"USA: Washington,King County",WA,,2020-10-03
MW173451,2020-10-27T00:00:00Z,29847,"USA: Washington,King County",WA,,2020-10-03
MW173452,2020-10-27T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-10-04
MW173453,2020-10-27T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-10-04
MW173454,2020-10-27T00:00:00Z,29854,"USA: Washington,King County",WA,,2020-10-05
MW173455,2020-10-27T00:00:00Z,29856,"USA: Washington,King County",WA,,2020-10-05
MW173456,2020-10-27T00:00:00Z,29847,"USA: Washington,King County",WA,,2020-10-05
MW173457,2020-10-27T00:00:00Z,29847,"USA: Washington,King County",WA,,2020-10-05
MW173458,2020-10-27T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-10-05
MW173459,2020-10-27T00:00:00Z,29854,"USA: Washington,King County",WA,,2020-10-05
MW077466,2020-10-07T00:00:00Z,29857,USA: Washington,WA,,2020-09-15
MW077467,2020-10-07T00:00:00Z,29868,USA: Washington,WA,,2020-09-09
MW077468,2020-10-07T00:00:00Z,29857,USA: Washington,WA,,2020-09-09
MW077469,2020-10-07T00:00:00Z,29855,USA: Washington,WA,,2020-09-09
MW077470,2020-10-07T00:00:00Z,29842,USA: Washington,WA,,2020-09-16
MW077471,2020-10-07T00:00:00Z,29860,USA: Washington,WA,,2020-05-15
MW077472,2020-10-07T00:00:00Z,29858,USA: Washington,WA,,2020-09-09
MW077473,2020-10-07T00:00:00Z,29863,USA: Washington,WA,,2020-09-09
MW077474,2020-10-07T00:00:00Z,29864,"USA: Washington,King County",WA,,2020-09-06
MW077475,2020-10-07T00:00:00Z,29864,"USA: Washington,King County",WA,,2020-09-07
MW077476,2020-10-07T00:00:00Z,29849,"USA: Washington,King County",WA,,2020-09-13
MW077477,2020-10-07T00:00:00Z,29854,"USA: Washington,King County",WA,,2020-09-09
MW077478,2020-10-07T00:00:00Z,29843,"USA: Washington,King County",WA,,2020-09-08
MW077479,2020-10-07T00:00:00Z,29833,USA: Washington,WA,,2020-09-09
MW077480,2020-10-07T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-09-16
MW077481,2020-10-07T00:00:00Z,29855,"USA: Washington,King County",WA,,2020-09-16
MW077482,2020-10-07T00:00:00Z,29859,"USA: Washington,King County",WA,,2020-09-13
MW077483,2020-10-07T00:00:00Z,29807,"USA: Washington,King County",WA,,2020-09-09
MW077484,2020-10-07T00:00:00Z,29818,"USA: Washington,King County",WA,,2020-08-31
MW077485,2020-10-07T00:00:00Z,29859,"USA: Washington,King County",WA,,2020-09-09
MW077486,2020-10-07T00:00:00Z,29852,"USA: Washington,King County",WA,,2020-09-16
MW077487,2020-10-07T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-09-14
MW077488,2020-10-07T00:00:00Z,29856,"USA: Washington,King County",WA,,2020-09-08
MW077489,2020-10-07T00:00:00Z,29859,"USA: Washington,King County",WA,,2020-09-16
MW077490,2020-10-07T00:00:00Z,29855,"USA: Washington,King County",WA,,2020-09-03
MW077491,2020-10-07T00:00:00Z,29862,"USA: Washington,King County",WA,,2020-08-28
MW077492,2020-10-07T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-09-18
MW077493,2020-10-07T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-09-18
MW077494,2020-10-07T00:00:00Z,29856,"USA: Washington,King County",WA,,2020-09-13
MW077495,2020-10-07T00:00:00Z,29822,"USA: Washington,King County",WA,,2020-08-31
MW077496,2020-10-07T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-09-18
MW077497,2020-10-07T00:00:00Z,29856,"USA: Washington,King County",WA,,2020-09-02
MW077498,2020-10-07T00:00:00Z,29852,"USA: Washington,King County",WA,,2020-09-07
MW077499,2020-10-07T00:00:00Z,29721,"USA: Washington,King County",WA,,2020-09-15
MW077500,2020-10-07T00:00:00Z,29840,"USA: Washington,King County",WA,,2020-09-02
MW077501,2020-10-07T00:00:00Z,29849,"USA: Washington,King County",WA,,2020-09-05
MW077502,2020-10-07T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-09-02
MW077503,2020-10-07T00:00:00Z,29845,"USA: Washington,King County",WA,,2020-09-05
MW079819,2020-10-07T00:00:00Z,29859,"USA: Washington,King County",WA,,2020-09-01
MW079820,2020-10-07T00:00:00Z,29849,"USA: Washington,King County",WA,,2020-09-01
MW079821,2020-10-07T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-08-31
MW079822,2020-10-07T00:00:00Z,29833,"USA: Washington,King County",WA,,2020-08-31
MW079823,2020-10-07T00:00:00Z,29823,"USA: Washington,King County",WA,,2020-09-03
MW079824,2020-10-07T00:00:00Z,29854,USA: Washington,WA,,2020-03-03
MW064450,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-18
MW064451,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-20
MW064452,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-20
MW064696,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-18
MW064697,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-18
MW064698,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-18
MW064699,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-18
MW064700,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-18
MW064701,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-18
MW064702,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-18
MW064703,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-18
MW064704,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-18
MW064859,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-21
MW064860,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-20
MW064989,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-21
MW065099,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-17
MW065100,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-17
MW065203,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-19
MW065204,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-19
MW065205,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-19
MW065206,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-19
MW065207,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-20
MW065348,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-16
MW065349,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-16
MW065350,2020-10-05T00:00:00Z,29782,USA: WA,WA,,2020-03-16
MT997213,2020-09-14T00:00:00Z,29844,"USA: Washington,King County",WA,,2020-08-14
MT997214,2020-09-14T00:00:00Z,29856,"USA: Washington,King County",WA,,2020-08-09
MT997215,2020-09-14T00:00:00Z,29833,"USA: Washington,King County",WA,,2020-08-05
MT997216,2020-09-14T00:00:00Z,29851,"USA: Washington,King County",WA,,2020-08-12
MT997217,2020-09-14T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-08-26
MT997218,2020-09-14T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-08-13
MT997219,2020-09-14T00:00:00Z,29849,"USA: Washington,King County",WA,,2020-08-01
MT997220,2020-09-14T00:00:00Z,29844,"USA: Washington,King County",WA,,2020-08-14
MT997221,2020-09-14T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-08-11
MT997222,2020-09-14T00:00:00Z,29844,"USA: Washington,King County",WA,,2020-08-11
MT997223,2020-09-14T00:00:00Z,29849,"USA: Washington,King County",WA,,2020-08-16
MT997224,2020-09-14T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-08-23
MT997225,2020-09-14T00:00:00Z,29850,"USA: Washington,King County",WA,,2020-08-13
MT997226,2020-09-14T00:00:00Z,29855,"USA: Washington,King County",WA,,2020-08-29
MT997227,2020-09-14T00:00:00Z,29855,"USA: Washington,King County",WA,,2020-08-23
MT997228,2020-09-14T00:00:00Z,29850,"USA: Washington,King County",WA,,2020-07-13
MT997229,2020-09-14T00:00:00Z,29823,"USA: Washington,King County",WA,,2020-08-06
MT997230,2020-09-14T00:00:00Z,29846,"USA: Washington,King County",WA,,2020-08-09
MT997231,2020-09-14T00:00:00Z,29729,"USA: Washington,King County",WA,,2020-08-25
MT997232,2020-09-14T00:00:00Z,29839,USA: Washington,WA,,2020-08-12
MT997233,2020-09-14T00:00:00Z,29855,"USA: Washington,King County",WA,,2020-08-14
MT997234,2020-09-14T00:00:00Z,29735,"USA: Washington,King County",WA,,2020-08-19
MT997235,2020-09-14T00:00:00Z,29859,"USA: Washington,King County",WA,,2020-08-29
MT997236,2020-09-14T00:00:00Z,29849,"USA: Washington,King County",WA,,2020-08-10
MT997237,2020-09-14T00:00:00Z,29804,"USA: Washington,King County",WA,,2020-08-22
MT997238,2020-09-14T00:00:00Z,29768,"USA: Washington,King County",WA,,2020-08-07
MT997239,2020-09-14T00:00:00Z,29845,"USA: Washington,King County",WA,,2020-08-04
MT997240,2020-09-14T00:00:00Z,29851,"USA: Washington,King County",WA,,2020-08-24
MT997241,2020-09-14T00:00:00Z,29848,"USA: Washington,King County",WA,,2020-08-14
MT997242,2020-09-14T00:00:00Z,29842,"USA: Washington,King County",WA,,2020-08-03
MT997243,2020-09-14T00:00:00Z,29853,"USA: Washington,King County",WA,,2020-08-19
MT994393,2020-09-11T00:00:00Z,29857,USA: Washington,WA,,2020-05-19
MT994394,2020-09-11T00:00:00Z,29856,USA: Washington,WA,,2020-08-06
MT994395,2020-09-11T00:00:00Z,29857,USA: Washington,WA,,2020-05-11
MT947546,2020-09-01T00:00:00Z,29849,"USA: Washington,King County",WA,,2020-06-29
MT947547,2020-09-01T00:00:00Z,29849,"USA: Washington,King County",WA,,2020-07-30
MT947548,2020-09-01T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-07-12
MT947549,2020-09-01T00:00:00Z,29841,"USA: Washington,King County",WA,,2020-07-13
MT947550,2020-09-01T00:00:00Z,29849,"USA: Washington,King County",WA,,2020-07-07
MT947551,2020-09-01T00:00:00Z,29849,"USA: Washington,King County",WA,,2020-07-27
MT947552,2020-09-01T00:00:00Z,29863,"USA: Washington,King County",WA,,2020-07-16
MT947553,2020-09-01T00:00:00Z,29854,"USA: Washington,King County",WA,,2020-07-30
MT947554,2020-09-01T00:00:00Z,29846,"USA: Washington,King County",WA,,2020-07-02
MT947555,2020-09-01T00:00:00Z,29859,"USA: Washington,King County",WA,,2020-07-17
MT947556,2020-09-01T00:00:00Z,29850,"USA: Washington,King County",WA,,2020-07-16
MT947557,2020-09-01T00:00:00Z,29856,"USA: Washington,King County",WA,,2020-07-15
MT947558,2020-09-01T00:00:00Z,29859,"USA: Washington,King County",WA,,2020-07-21
MT947559,2020-09-01T00:00:00Z,29856,"USA: Washington,King County",WA,,2020-07-16
MT947560,2020-09-01T00:00:00Z,29859,"USA: Washington,King County",WA,,2020-07-17
MT947561,2020-09-01T00:00:00Z,29863,"USA: Washington,King County",WA,,2020-07-12
MT947562,2020-09-01T00:00:00Z,29840,"USA: Washington,King County",WA,,2020-07-04
MT947563,2020-09-01T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-07-03
MT947564,2020-09-01T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-07-19
MT947565,2020-09-01T00:00:00Z,29853,"USA: Washington,King County",WA,,2020-07-18
MT947566,2020-09-01T00:00:00Z,29858,"USA: Washington,King County",WA,,2020-07-08
MT947567,2020-09-01T00:00:00Z,29833,"USA: Washington,King County",WA,,2020-07-16
MT947568,2020-09-01T00:00:00Z,29868,"USA: Washington,King County",WA,,2020-07-07
MT947569,2020-09-01T00:00:00Z,29802,"USA: Washington,King County",WA,,2020-07-01
MT947570,2020-09-01T00:00:00Z,29862,"USA: Washington,King County",WA,,2020-07-02
MT947571,2020-09-01T00:00:00Z,29845,"USA: Washington,King County",WA,,2020-06-29
MT947572,2020-09-01T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-07-16
MT947573,2020-09-01T00:00:00Z,29867,"USA: Washington,King County",WA,,2020-07-09
MT947574,2020-09-01T00:00:00Z,29860,"USA: Washington,King County",WA,,2020-07-02
MT947575,2020-09-01T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-07-13
MT947576,2020-09-01T00:00:00Z,29836,"USA: Washington,King County",WA,,2020-07-28
MT947577,2020-09-01T00:00:00Z,29837,"USA: Washington,King County",WA,,2020-07-19
MT947578,2020-09-01T00:00:00Z,29850,"USA: Washington,King County",WA,,2020-07-28
MT947579,2020-09-01T00:00:00Z,29835,"USA: Washington,King County",WA,,2020-07-28
MT947580,2020-09-01T00:00:00Z,29833,"USA: Washington,King County",WA,,2020-07-29
MT947581,2020-09-01T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-07-08
MT947582,2020-09-01T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-07-27
MT947583,2020-09-01T00:00:00Z,29853,"USA: Washington,King County",WA,,2020-07-11
MT947584,2020-09-01T00:00:00Z,29839,"USA: Washington,King County",WA,,2020-07-29
MT947585,2020-09-01T00:00:00Z,29809,"USA: Washington,King County",WA,,2020-07-28
MT947586,2020-09-01T00:00:00Z,29848,"USA: Washington,King County",WA,,2020-07-28
MT947587,2020-09-01T00:00:00Z,29852,"USA: Washington,King County",WA,,2020-06-25
MT947588,2020-09-01T00:00:00Z,29832,"USA: Washington,King County",WA,,2020-07-27
MT947589,2020-09-01T00:00:00Z,29829,"USA: Washington,King County",WA,,2020-07-29
MT947590,2020-09-01T00:00:00Z,29846,"USA: Washington,King County",WA,,2020-07-21
MT947591,2020-09-01T00:00:00Z,29850,"USA: Washington,King County",WA,,2020-07-02
MT947592,2020-09-01T00:00:00Z,29857,"USA: Washington,King County",WA,,2020-07-11
MT947593,2020-09-01T00:00:00Z,29845,"USA: Washington,King County",WA,,2020-07-03
MT947594,2020-09-01T00:00:00Z,29813,"USA: Washington,King County",WA,,2020-07-29
MT947595,2020-09-01T00:00:00Z,29851,"USA: Washington,King County",WA,,2020-06-29
MT946869,2020-08-31T00:00:00Z,29857,USA: Washington,WA,,2020-07-16
MT946870,2020-08-31T00:00:00Z,29857,USA: Washington,WA,,2020-06-26
MT946871,2020-08-31T00:00:00Z,29833,USA: Washington,WA,,2020-06-20
MT946872,2020-08-31T00:00:00Z,29823,USA: Washington,WA,,2020-06-18
MT946873,2020-08-31T00:00:00Z,29868,USA: Washington,WA,,2020-07-27
MT831121,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-08
MT831122,2020-08-04T00:00:00Z,29878,"USA: Washington,Yakima County",WA,,2020-06-10
MT831123,2020-08-04T00:00:00Z,29872,"USA: Washington,Yakima County",WA,,2020-06-08
MT831124,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-03
MT831125,2020-08-04T00:00:00Z,29867,"USA: Washington,Yakima County",WA,,2020-06-08
MT831126,2020-08-04T00:00:00Z,29842,"USA: Washington,Yakima County",WA,,2020-06-08
MT831127,2020-08-04T00:00:00Z,29855,"USA: Washington,Yakima County",WA,,2020-06-05
MT831128,2020-08-04T00:00:00Z,29873,"USA: Washington,Yakima County",WA,,2020-06-04
MT831129,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-02
MT831130,2020-08-04T00:00:00Z,29873,"USA: Washington,Yakima County",WA,,2020-06-09
MT831131,2020-08-04T00:00:00Z,29872,"USA: Washington,Yakima County",WA,,2020-06-09
MT831132,2020-08-04T00:00:00Z,29784,"USA: Washington,Yakima County",WA,,2020-06-08
MT831133,2020-08-04T00:00:00Z,29855,"USA: Washington,Yakima County",WA,,2020-06-05
MT831134,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-05
MT831135,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-05
MT831136,2020-08-04T00:00:00Z,29860,"USA: Washington,Benton County",WA,,2020-06-05
MT831137,2020-08-04T00:00:00Z,29874,"USA: Washington,Yakima County",WA,,2020-06-10
MT831138,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-05
MT831139,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-03
MT831140,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-04
MT831141,2020-08-04T00:00:00Z,29879,"USA: Washington,Yakima County",WA,,2020-06-10
MT831142,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-05
MT831143,2020-08-04T00:00:00Z,29872,"USA: Washington,Yakima County",WA,,2020-06-05
MT831144,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-05
MT831145,2020-08-04T00:00:00Z,29879,"USA: Washington,Yakima County",WA,,2020-06-10
MT831146,2020-08-04T00:00:00Z,29847,"USA: Washington,Yakima County",WA,,2020-06-04
MT831147,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-08
MT831148,2020-08-04T00:00:00Z,29874,"USA: Washington,Yakima County",WA,,2020-06-08
MT831149,2020-08-04T00:00:00Z,29873,"USA: Washington,Yakima County",WA,,2020-06-04
MT831150,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-09
MT831151,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-04
MT831152,2020-08-04T00:00:00Z,29856,"USA: Washington,Yakima County",WA,,2020-06-08
MT831153,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-08
MT831154,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-08
MT831155,2020-08-04T00:00:00Z,29846,"USA: Washington,Yakima County",WA,,2020-06-08
MT831156,2020-08-04T00:00:00Z,29870,"USA: Washington,Yakima County",WA,,2020-06-05
MT831157,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-08
MT831158,2020-08-04T00:00:00Z,29877,"USA: Washington,Yakima County",WA,,2020-06-09
MT831159,2020-08-04T00:00:00Z,29867,"USA: Washington,Yakima County",WA,,2020-06-06
MT831160,2020-08-04T00:00:00Z,29877,"USA: Washington,Yakima County",WA,,2020-06-05
MT831161,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-08
MT831162,2020-08-04T00:00:00Z,29870,"USA: Washington,Pierce County",WA,,2020-06-09
MT831163,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-08
MT831164,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-02
MT831165,2020-08-04T00:00:00Z,29879,"USA: Washington,Yakima County",WA,,2020-06-05
MT831166,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-03
MT831167,2020-08-04T00:00:00Z,29857,"USA: Washington,Pierce County",WA,,2020-06-09
MT831168,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-07
MT831169,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-05
MT831170,2020-08-04T00:00:00Z,29878,"USA: Washington,Yakima County",WA,,2020-06-05
MT831171,2020-08-04T00:00:00Z,29870,"USA: Washington,Yakima County",WA,,2020-06-06
MT831172,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-04
MT831173,2020-08-04T00:00:00Z,29874,"USA: Washington,Yakima County",WA,,2020-06-09
MT831174,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-05
MT831175,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-03
MT831176,2020-08-04T00:00:00Z,29873,"USA: Washington,Yakima County",WA,,2020-06-05
MT831177,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-09
MT831178,2020-08-04T00:00:00Z,29871,"USA: Washington,Yakima County",WA,,2020-06-05
MT831179,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-07
MT831180,2020-08-04T00:00:00Z,29874,"USA: Washington,Yakima County",WA,,2020-06-04
MT831181,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-03
MT831182,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-05
MT831183,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-03
MT831184,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-04
MT831185,2020-08-04T00:00:00Z,29855,"USA: Washington,Yakima County",WA,,2020-06-09
MT831186,2020-08-04T00:00:00Z,29867,"USA: Washington,Yakima County",WA,,2020-06-03
MT831187,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-08
MT831188,2020-08-04T00:00:00Z,29876,"USA: Washington,Kittitas County",WA,,2020-06-05
MT831189,2020-08-04T00:00:00Z,29873,"USA: Washington,Yakima County",WA,,2020-06-05
MT831190,2020-08-04T00:00:00Z,29872,"USA: Washington,Yakima County",WA,,2020-06-09
