Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/USA/WA-UW109/2020	EPI_ISL_416647	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1.21	GH
hCoV-19/USA/WA-UW110/2020	EPI_ISL_416648	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1.21	GH
hCoV-19/USA/WA-UW111/2020	EPI_ISL_416649	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW112/2020	EPI_ISL_416650	3/10/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW113/2020	EPI_ISL_416651	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom	Gap of 1 nucleotides when compared to the reference sequence.	info	A.1	S
hCoV-19/USA/WA-UW114/2020	EPI_ISL_416652	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW115/2020	EPI_ISL_416653	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1.21	GH
hCoV-19/USA/WA-UW116/2020	EPI_ISL_416654	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom	Insertion of 1 nucleotides when compared to the reference sequence.	info	A.1	S
hCoV-19/USA/WA-UW117/2020	EPI_ISL_416655	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1	GH
hCoV-19/USA/WA-UW118/2020	EPI_ISL_416656	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW119/2020	EPI_ISL_416657	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW120/2020	EPI_ISL_416658	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1	G
hCoV-19/USA/WA-UW121/2020	EPI_ISL_416659	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW122/2020	EPI_ISL_416660	3/10/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1	GH
hCoV-19/USA/WA-UW123/2020	EPI_ISL_416661	3/12/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom	Insertion of 5 nucleotides when compared to the reference sequence.	info	B.1.2	GH
hCoV-19/USA/WA-UW124/2020	EPI_ISL_416662	3/12/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW125/2020	EPI_ISL_416663	3/12/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW126/2020	EPI_ISL_416664	3/12/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW127/2020	EPI_ISL_416665	3/12/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW128/2020	EPI_ISL_416666	3/12/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW129/2020	EPI_ISL_416667	3/12/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW130/2020	EPI_ISL_416668	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW131/2020	EPI_ISL_416669	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom	Gap of 2 nucleotides when compared to the reference sequence.	info	A.1	S
hCoV-19/USA/WA-UW133/2020	EPI_ISL_416671	3/12/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1	GH
hCoV-19/USA/WA-UW136/2020	EPI_ISL_416674	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1	GH
hCoV-19/USA/WA-UW137/2020	EPI_ISL_416675	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.2.2	V
hCoV-19/USA/WA-UW138/2020	EPI_ISL_416676	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1.1	GR
hCoV-19/USA/WA-UW139/2020	EPI_ISL_416677	3/12/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW140/2020	EPI_ISL_416678	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1	GH
hCoV-19/USA/WA-UW141/2020	EPI_ISL_416679	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW142/2020	EPI_ISL_416680	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW143/2020	EPI_ISL_416681	3/11/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom	Insertion of 1 nucleotides when compared to the reference sequence.	info	A.1	S
hCoV-19/USA/WA-UW144/2020	EPI_ISL_416682	3/9/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW145/2020	EPI_ISL_416683	3/15/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW146/2020	EPI_ISL_416684	3/14/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW147/2020	EPI_ISL_416685	3/15/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW148/2020	EPI_ISL_416686	3/14/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom	NS6_E55stop results in 11.5% truncation of the protein sequence.	info	A.1	S
hCoV-19/USA/WA-UW149/2020	EPI_ISL_416687	3/14/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW150/2020	EPI_ISL_416688	3/14/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW151/2020	EPI_ISL_416689	3/14/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom	Gap of 3 nucleotides when compared to the reference sequence.	info	A.1	S
hCoV-19/USA/WA-UW152/2020	EPI_ISL_416690	3/13/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW153/2020	EPI_ISL_416691	3/13/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1.21	GH
hCoV-19/USA/WA-UW154/2020	EPI_ISL_416692	3/14/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW155/2020	EPI_ISL_416693	3/12/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1.21	GH
hCoV-19/USA/WA-UW156/2020	EPI_ISL_416694	3/13/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			A.1	S
hCoV-19/USA/WA-UW160/2020	EPI_ISL_416698	3/13/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1.21	GH
hCoV-19/USA/WA-UW161/2020	EPI_ISL_416699	3/13/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1.21	GH
hCoV-19/USA/WA-S37/2020	EPI_ISL_417090	3/4/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S38/2020	EPI_ISL_417091	3/4/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S39/2020	EPI_ISL_417092	3/4/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S40/2020	EPI_ISL_417093	2/28/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S42/2020	EPI_ISL_417095	2/28/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S43/2020	EPI_ISL_417096	2/27/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S44/2020	EPI_ISL_417097	2/28/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S45/2020	EPI_ISL_417098	2/29/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S46/2020	EPI_ISL_417099	2/29/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S47/2020	EPI_ISL_417100	2/29/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S48/2020	EPI_ISL_417101	2/29/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S49/2020	EPI_ISL_417102	3/4/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S50/2020	EPI_ISL_417103	3/5/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S51/2020	EPI_ISL_417104	3/3/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S52/2020	EPI_ISL_417105	3/3/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S53/2020	EPI_ISL_417106	3/3/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S54/2020	EPI_ISL_417107	3/5/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S55/2020	EPI_ISL_417108	2/29/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S57/2020	EPI_ISL_417110	3/3/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S58/2020	EPI_ISL_417111	3/5/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S59/2020	EPI_ISL_417112	3/2/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S61/2020	EPI_ISL_417114	3/5/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S62/2020	EPI_ISL_417115	3/3/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S63/2020	EPI_ISL_417116	3/4/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S64/2020	EPI_ISL_417117	3/3/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S65/2020	EPI_ISL_417118	3/3/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S66/2020	EPI_ISL_417119	3/6/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S67/2020	EPI_ISL_417120	3/4/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S68/2020	EPI_ISL_417121	3/4/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S69/2020	EPI_ISL_417122	3/5/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S70/2020	EPI_ISL_417123	3/5/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S71/2020	EPI_ISL_417124	3/5/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S72/2020	EPI_ISL_417125	3/6/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S73/2020	EPI_ISL_417126	3/5/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S74/2020	EPI_ISL_417127	3/5/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S75/2020	EPI_ISL_417128	3/5/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S76/2020	EPI_ISL_417129	3/5/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S77/2020	EPI_ISL_417130	3/5/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S79/2020	EPI_ISL_417132	3/5/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S80/2020	EPI_ISL_417133	3/5/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S81/2020	EPI_ISL_417134	2/26/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S82/2020	EPI_ISL_417135	2/22/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S83/2020	EPI_ISL_417136	3/5/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S84/2020	EPI_ISL_417137	2/21/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S86/2020	EPI_ISL_417139	3/1/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S87/2020	EPI_ISL_417140	3/1/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S88/2020	EPI_ISL_417141	3/1/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S91/2020	EPI_ISL_417144	3/2/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S92/2020	EPI_ISL_417145	2/29/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S93/2020	EPI_ISL_417146	2/29/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S94/2020	EPI_ISL_417147	2/28/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S95/2020	EPI_ISL_417148	2/28/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S96/2020	EPI_ISL_417149	2/28/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S97/2020	EPI_ISL_417150	2/28/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S98/2020	EPI_ISL_417151	2/29/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S99/2020	EPI_ISL_417152	2/28/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S100/2020	EPI_ISL_417153	2/29/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S101/2020	EPI_ISL_417154	2/28/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S102/2020	EPI_ISL_417155	2/28/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S103/2020	EPI_ISL_417156	2/28/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S104/2020	EPI_ISL_417157	3/5/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S105/2020	EPI_ISL_417158	2/28/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S106/2020	EPI_ISL_417159	2/29/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S107/2020	EPI_ISL_417160	2/29/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S108/2020	EPI_ISL_417161	2/29/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S109/2020	EPI_ISL_417162	3/1/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S110/2020	EPI_ISL_417163	3/5/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S111/2020	EPI_ISL_417164	3/7/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S112/2020	EPI_ISL_417165	3/8/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S113/2020	EPI_ISL_417166	2/29/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A	S
hCoV-19/USA/WA-S114/2020	EPI_ISL_417167	3/5/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S115/2020	EPI_ISL_417168	2/29/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S116/2020	EPI_ISL_417169	3/2/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S117/2020	EPI_ISL_417170	3/2/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S118/2020	EPI_ISL_417171	3/1/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S119/2020	EPI_ISL_417172	2/29/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S122/2020	EPI_ISL_417175	3/2/2020	North America / USA / Washington / Grant County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-UW-1723/2020	EPI_ISL_424200	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1.21	GH
hCoV-19/USA/WA-UW-1651/2020	EPI_ISL_424202	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1.21	GH
hCoV-19/USA/WA-UW-1652/2020	EPI_ISL_424203	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1.21	GH
hCoV-19/USA/WA-UW-1698/2020	EPI_ISL_424204	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1.21	GH
hCoV-19/USA/WA-UW-1697/2020	EPI_ISL_424205	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1.21	GH
hCoV-19/USA/WA-UW-1716/2020	EPI_ISL_424207	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1	GH
hCoV-19/USA/WA-UW-1712/2020	EPI_ISL_424208	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1.21	GH
hCoV-19/USA/WA-UW-1765/2020	EPI_ISL_424209	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			A.1	S
hCoV-19/USA/WA-UW-1718/2020	EPI_ISL_424210	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			A.1	S
hCoV-19/USA/WA-UW-1689/2020	EPI_ISL_424211	3/19/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1.21	GH
hCoV-19/USA/WA-UW-1715/2020	EPI_ISL_424212	3/19/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1	GH
hCoV-19/USA/WA-UW-1670/2020	EPI_ISL_424213	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			A.1	S
hCoV-19/USA/WA-UW-1677/2020	EPI_ISL_424214	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1.21	GH
hCoV-19/USA/WA-UW-1680/2020	EPI_ISL_424215	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1	GH
hCoV-19/USA/WA-UW-1690/2020	EPI_ISL_424216	3/19/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1	GH
hCoV-19/USA/WA-UW-1682/2020	EPI_ISL_424218	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			A.1	S
hCoV-19/USA/WA-UW-1695/2020	EPI_ISL_424219	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			A.1	S
hCoV-19/USA/WA-UW-1729/2020	EPI_ISL_424220	3/21/2020	North America / USA / Washington	Human	Original			unknown	unknown			A.1	S
hCoV-19/USA/WA-UW-1748/2020	EPI_ISL_424221	3/21/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1.21	GH
hCoV-19/USA/WA-UW-1700/2020	EPI_ISL_424222	3/20/2020	North America / USA / Washington	Human	Original			unknown	unknown			A.1	S
hCoV-19/USA/WA-UW-1744/2020	EPI_ISL_424223	3/21/2020	North America / USA / Washington	Human	Original			unknown	unknown			A.1	S
hCoV-19/USA/WA-UW-1745/2020	EPI_ISL_424224	3/21/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.2.12	V
hCoV-19/USA/WA-UW-1707/2020	EPI_ISL_424225	3/21/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1.2	GH
hCoV-19/USA/WA-UW-1705/2020	EPI_ISL_424226	3/21/2020	North America / USA / Washington	Human	Original			unknown	unknown			A.1	S
hCoV-19/USA/WA-UW-1706/2020	EPI_ISL_424227	3/21/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1.21	GH
hCoV-19/USA/WA-UW-1702/2020	EPI_ISL_424228	3/21/2020	North America / USA / Washington	Human	Original			unknown	unknown			A.1	S
hCoV-19/USA/WA-UW-1724/2020	EPI_ISL_424229	3/21/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1.21	GH
hCoV-19/USA/WA-UW-1709/2020	EPI_ISL_424230	3/21/2020	North America / USA / Washington	Human	Original			unknown	unknown			A.1	S
hCoV-19/USA/WA-UW-1731/2020	EPI_ISL_424231	3/21/2020	North America / USA / Washington	Human	Original			unknown	unknown			A.1	S
hCoV-19/USA/WA-UW-1708/2020	EPI_ISL_424232	3/21/2020	North America / USA / Washington	Human	Original			unknown	unknown			A.1	S
hCoV-19/USA/WA-UW-1772/2020	EPI_ISL_424233	3/21/2020	North America / USA / Washington	Human	Original			unknown	unknown			B.1.5	G
